Unique_ID,First_Name,Last_Name,Age_at_First_Offense,Current_Age,Gender,Education_Level,Employment_Status,Marital_Status,Substance_Abuse_History,Mental_Health_Issues,Family_Criminal_History,Prior_Convictions,Type_of_Crimes_Committed,Length_of_Prison_Stay,In_Prison_Behavior,Discharge_Status,Neighborhood_Crime_Rates,Access_to_Support_Services,Social_Support,Recidivism_of_Peers,Number_of_Reoffenses,Socioeconomic_Status,Dependents,Gang_Affiliation,Committed_Juvenile_Crime,Address
250,Yashawini,Tara,30,35,Male,No Formal Education,Unemployed,Widowed,Yes,No,No,8,Cybercrime,7,Poor,Completed Sentence,1.04,No,Strong,High,4,Middle,1,Yes,Yes,"419, Thaker Marg, Durgapur-601013"
251,Rayaan,Raja,29,30,Male,Postgraduate,Employed,Single,No,Yes,Yes,10,Murder,18,Poor,Parole,3.45,Yes,Strong,Low,2,Low,1,No,Yes,"H.No. 35, Sama Zila, Muzaffarnagar-724427"
252,Kritika,Uppal,14,19,Female,Graduate,Unemployed,Divorced,Yes,Yes,Yes,0,Murder,2,Average,Completed Sentence,7.12,No,Moderate,Low,1,High,4,No,Yes,"37/606, Ratti Road, Bharatpur 467007"
253,Aadi,Loyal,13,36,Female,Postgraduate,Unemployed,Divorced,Yes,No,Yes,5,Drug Trafficking,5,Good,Completed Sentence,7.75,No,Weak,Low,1,Low,1,No,Yes,"931, Sodhi Street, Bhilai-219081"
254,Mahika,Raman,28,62,Other,No Formal Education,Employed,Divorced,No,No,No,0,Murder,15,Poor,Parole,7.65,No,Weak,Low,1,Low,3,No,Yes,"03/479, Bains Marg, Hospet 322428"
255,Yuvraj,Anne,25,46,Female,Higher Secondary,Unemployed,Single,Yes,No,Yes,6,Murder,2,Average,Escaped,2.09,No,Strong,Moderate,2,Low,5,No,Yes,"H.No. 655, Halder, Uluberia-207479"
256,Ryan,Chacko,26,52,Male,No Formal Education,Employed,Widowed,No,Yes,No,7,Theft,7,Average,Completed Sentence,2.17,Yes,Weak,Moderate,2,Low,5,Yes,Yes,"H.No. 560, Char Ganj, Tirunelveli 639358"
257,Chavvi,Setty,24,35,Female,Higher Secondary,Self-Employed,Married,No,Yes,Yes,0,Assault,11,Good,Completed Sentence,4.93,Yes,Strong,Moderate,1,Low,4,No,Yes,"058, Kaur Marg, Bulandshahr 450027"
258,Sai,Oommen,22,70,Male,Postgraduate,Unemployed,Widowed,No,Yes,No,0,Murder,3,Poor,Escaped,2.3,No,Weak,Low,1,Middle,5,No,No,"26/306, Kamdar, Alwar-538086"
259,Kiaan,Mannan,26,65,Female,Graduate,Self-Employed,Single,Yes,Yes,No,8,Assault,15,Poor,Escaped,7.39,Yes,Moderate,High,0,High,0,Yes,No,"H.No. 168, Shah Path, Sikar 543765"
260,Ryan,Vala,12,48,Female,No Formal Education,Unemployed,Single,No,Yes,No,3,Fraud,17,Good,Parole,1.71,No,Strong,High,5,Middle,0,No,No,"10, Koshy Chowk, Bongaigaon 089403"
261,Balendra,Tandon,18,70,Other,Postgraduate,Unemployed,Married,No,No,Yes,1,Theft,13,Average,Escaped,4.12,Yes,Weak,High,2,High,3,Yes,No,"H.No. 96, Sekhon Marg, Sambalpur-107197"
262,Champak,Minhas,20,26,Male,Higher Secondary,Employed,Widowed,No,No,No,3,Cybercrime,1,Poor,Parole,7.75,Yes,Weak,High,3,Middle,5,No,Yes,"28/409, Raja Street, Dehri-693793"
263,Ryan,Lata,10,20,Male,Secondary,Unemployed,Married,No,Yes,Yes,10,Theft,17,Average,Completed Sentence,4.94,Yes,Strong,Low,5,High,4,Yes,No,"94/051, Choudhury Ganj, Thrissur 176448"
264,Aarna,Rai,29,29,Other,Higher Secondary,Unemployed,Single,Yes,Yes,Yes,0,Theft,19,Poor,Completed Sentence,5.31,No,Weak,High,4,High,2,No,Yes,"H.No. 358, Nagi Road, Mathura-751155"
265,Rachita,Thaker,29,44,Male,Higher Secondary,Self-Employed,Widowed,Yes,No,No,2,Fraud,1,Poor,Completed Sentence,5.1,Yes,Strong,Low,5,High,3,Yes,Yes,"H.No. 96, Apte Ganj, Jabalpur 476644"
266,Lucky,Kari,15,68,Male,Primary,Unemployed,Married,Yes,Yes,Yes,10,Drug Trafficking,14,Average,Escaped,9.95,Yes,Weak,Low,2,Middle,0,No,No,"98, Keer Street, Pimpri-Chinchwad-769225"
267,Gaurangi,Hegde,27,34,Male,Secondary,Self-Employed,Widowed,No,No,No,9,Fraud,6,Good,Parole,9.76,No,Strong,Moderate,3,High,2,No,No,"36, Dalal Marg, Madanapalle-462322"
268,Riya,Chakrabarti,29,34,Female,Higher Secondary,Unemployed,Single,No,Yes,No,3,Assault,5,Average,Parole,8.8,Yes,Strong,Moderate,5,Middle,3,No,Yes,"521, Karnik Nagar, Miryalaguda-229511"
269,Jagdish,Devi,20,24,Other,No Formal Education,Employed,Widowed,No,No,Yes,8,Cybercrime,17,Poor,Escaped,2.37,No,Weak,Low,0,Middle,2,No,Yes,"93/927, Chada Zila, Chandigarh-809951"
270,Zaid,Bath,11,61,Male,Graduate,Unemployed,Widowed,No,No,Yes,9,Theft,8,Good,Parole,2.72,Yes,Moderate,Moderate,3,Low,1,No,Yes,"079, Sehgal, Ranchi-193488"
271,Janani,Lad,20,58,Other,Higher Secondary,Self-Employed,Widowed,No,No,No,5,Theft,4,Average,Completed Sentence,1.68,No,Strong,Low,1,Low,5,No,Yes,"10/784, Ray, Jalna 502522"
272,Madhavi,Panchal,16,20,Male,Postgraduate,Employed,Divorced,No,No,No,8,Assault,11,Poor,Completed Sentence,1.54,No,Weak,High,2,Middle,4,No,Yes,"30, Oommen Road, Nizamabad 201565"
273,Alka,Balasubramanian,15,41,Other,No Formal Education,Employed,Married,No,No,No,5,Cybercrime,9,Poor,Completed Sentence,9.7,Yes,Moderate,High,5,High,1,Yes,No,"32/64, Choudhury Zila, Mirzapur 018216"
274,Veda,Golla,25,64,Male,Higher Secondary,Unemployed,Married,No,Yes,Yes,10,Fraud,5,Good,Escaped,1.68,No,Weak,Moderate,2,Low,2,No,Yes,"07/332, Sharma Nagar, Burhanpur 375753"
275,Idika,Sawhney,12,29,Male,Primary,Employed,Divorced,No,No,Yes,5,Drug Trafficking,7,Good,Escaped,7.3,Yes,Moderate,Moderate,3,High,3,Yes,No,"491, Char Circle, Eluru-240637"
276,Chatresh,Nadkarni,20,60,Male,Higher Secondary,Employed,Married,No,No,Yes,3,Fraud,1,Good,Completed Sentence,8.99,No,Weak,Moderate,1,Middle,0,No,Yes,"96, Palla, Warangal-457357"
277,Pratyush,Prasad,27,35,Other,Higher Secondary,Self-Employed,Widowed,Yes,No,No,2,Theft,2,Average,Completed Sentence,5.72,Yes,Strong,Moderate,4,Middle,5,Yes,No,"413, Hayre Ganj, Bokaro 117677"
278,Kamya,Bajwa,14,55,Other,No Formal Education,Unemployed,Divorced,Yes,Yes,Yes,10,Fraud,9,Poor,Escaped,3.64,Yes,Strong,Moderate,4,Low,5,No,No,"H.No. 01, Shroff Nagar, Gopalpur 352179"
279,Brijesh,Halder,12,44,Male,Graduate,Self-Employed,Married,Yes,No,No,4,Murder,17,Average,Completed Sentence,9.07,No,Moderate,High,5,Low,0,Yes,No,"H.No. 921, Chakrabarti Chowk, Visakhapatnam 150578"
280,Shravya,Ram,29,63,Male,No Formal Education,Self-Employed,Divorced,No,Yes,Yes,5,Fraud,7,Average,Escaped,8.63,Yes,Moderate,Low,3,Middle,2,No,No,"H.No. 32, Sem Zila, Kharagpur 481788"
281,Neha,Ravi,12,61,Male,Graduate,Self-Employed,Divorced,No,Yes,Yes,3,Cybercrime,9,Good,Escaped,8.0,Yes,Weak,High,1,Middle,3,Yes,Yes,"50/81, Kadakia Road, Vadodara 603611"
282,Rayaan,Borde,26,28,Other,Secondary,Employed,Single,Yes,No,Yes,10,Theft,12,Poor,Completed Sentence,3.71,Yes,Strong,High,4,Low,3,No,Yes,"15, Dora Path, Ghaziabad 789375"
283,Parth,Trivedi,16,29,Female,No Formal Education,Self-Employed,Married,Yes,Yes,Yes,3,Fraud,18,Good,Completed Sentence,3.51,Yes,Strong,High,0,Middle,1,Yes,No,"60, Randhawa Marg, Siliguri 761311"
284,Ekapad,Deshmukh,17,19,Male,No Formal Education,Employed,Widowed,Yes,Yes,No,6,Theft,12,Good,Parole,9.07,Yes,Moderate,Moderate,5,Low,2,Yes,Yes,"36, Thakkar Zila, Ajmer-827592"
285,Anay,Shan,12,62,Male,No Formal Education,Self-Employed,Widowed,Yes,Yes,Yes,1,Drug Trafficking,8,Average,Completed Sentence,4.23,Yes,Moderate,High,4,Middle,3,No,No,"00/32, Peri Street, Karnal 363236"
286,Anita,Borra,19,21,Other,Secondary,Self-Employed,Single,No,No,No,9,Assault,11,Good,Completed Sentence,1.97,No,Moderate,Low,1,Middle,3,No,No,"52/175, Srinivas Chowk, Satara-928509"
287,Oviya,Bora,24,47,Female,Primary,Employed,Divorced,No,No,Yes,9,Drug Trafficking,12,Average,Completed Sentence,3.05,Yes,Moderate,Moderate,0,High,3,Yes,No,"70, Raja Ganj, Unnao-281162"
288,Chameli,Shere,27,40,Male,Secondary,Self-Employed,Single,No,Yes,No,8,Fraud,7,Poor,Completed Sentence,2.95,Yes,Weak,High,0,Middle,1,Yes,No,"50, Bhakta Marg, Hyderabad-782273"
289,Jagvi,Chand,30,51,Male,Secondary,Employed,Widowed,Yes,Yes,No,10,Murder,7,Average,Escaped,9.01,No,Weak,Moderate,5,Low,3,No,Yes,"973, Deep Street, Guntakal-907218"
290,Manya,Borde,23,70,Female,No Formal Education,Unemployed,Widowed,No,Yes,No,1,Drug Trafficking,14,Average,Parole,7.24,Yes,Strong,Moderate,3,High,0,No,Yes,"677, Buch Road, Warangal 322313"
291,Panini,Mahajan,26,49,Female,Primary,Self-Employed,Widowed,No,No,No,4,Fraud,11,Average,Escaped,8.75,Yes,Strong,Moderate,4,Middle,4,No,No,"H.No. 214, Bath Nagar, Satara 785860"
292,Manbir,Borra,17,59,Male,Primary,Unemployed,Divorced,Yes,No,No,3,Cybercrime,13,Good,Escaped,9.32,No,Moderate,Low,4,Middle,2,No,No,"H.No. 365, Soni Nagar, Hapur-178600"
293,Noah,Kamdar,12,63,Female,Postgraduate,Unemployed,Single,No,Yes,No,4,Cybercrime,18,Good,Parole,2.44,No,Strong,High,0,Low,5,No,No,"H.No. 190, Chaudry Road, Shivpuri 781268"
294,Lipika,Arya,13,45,Other,No Formal Education,Employed,Divorced,Yes,No,No,6,Assault,10,Average,Parole,1.78,Yes,Weak,High,1,Low,1,Yes,No,"29/25, Rao Street, Shimla 890032"
295,Falguni,Ahuja,28,42,Female,Secondary,Unemployed,Married,No,No,No,7,Drug Trafficking,7,Average,Completed Sentence,5.77,No,Strong,Low,3,Middle,5,No,No,"31/83, Rege Path, Ahmednagar-075237"
296,Ranveer,Pai,16,18,Other,Higher Secondary,Employed,Divorced,No,Yes,No,7,Cybercrime,5,Average,Parole,9.96,No,Strong,Low,4,High,4,Yes,Yes,"H.No. 66, Bakshi Road, Delhi 973944"
297,Maanav,Buch,20,55,Female,No Formal Education,Self-Employed,Married,No,No,No,5,Fraud,9,Good,Escaped,7.55,Yes,Weak,Moderate,4,Middle,0,Yes,No,"64/18, Bir Ganj, Ballia 655137"
298,Sara,Gaba,19,40,Other,Secondary,Self-Employed,Divorced,Yes,Yes,No,2,Theft,5,Good,Escaped,2.56,No,Strong,Low,1,Middle,1,No,No,"906, Gopal Ganj, Korba 093149"
299,Veda,Chacko,24,68,Female,No Formal Education,Unemployed,Divorced,No,Yes,Yes,7,Fraud,6,Good,Escaped,1.0,No,Moderate,High,5,High,2,No,Yes,"H.No. 052, Oommen Marg, South Dumdum 669828"
300,Vivaan,Tella,24,67,Male,Higher Secondary,Employed,Widowed,No,Yes,No,4,Fraud,16,Poor,Parole,2.49,Yes,Strong,Low,0,Low,1,Yes,Yes,"H.No. 107, Krish, Saharanpur-076095"
301,Pavani,Pillai,16,28,Male,No Formal Education,Unemployed,Married,Yes,Yes,No,5,Assault,12,Good,Completed Sentence,1.25,No,Weak,High,1,Low,4,Yes,No,"64, Hans Chowk, Kadapa-697828"
302,Meghana,Kannan,12,66,Other,Higher Secondary,Unemployed,Divorced,No,No,No,0,Assault,7,Good,Completed Sentence,3.39,Yes,Moderate,High,0,Middle,3,No,No,"27, Bhatia Path, Burhanpur 828955"
303,Janani,Ravel,18,41,Other,Primary,Unemployed,Widowed,No,No,No,5,Assault,20,Good,Completed Sentence,7.3,Yes,Strong,Moderate,1,High,4,Yes,Yes,"38, Soman Zila, Anand-819323"
304,Darsh,Sangha,28,47,Female,Primary,Employed,Divorced,Yes,No,No,0,Assault,7,Average,Completed Sentence,5.31,No,Strong,High,5,High,0,Yes,No,"32/421, Tripathi Marg, Jalgaon 482703"
305,Kalpit,Sachdev,28,32,Other,No Formal Education,Self-Employed,Widowed,Yes,No,No,4,Drug Trafficking,12,Average,Completed Sentence,7.08,No,Moderate,High,3,Middle,0,Yes,Yes,"10/64, Balasubramanian Street, Darbhanga 126071"
306,Lopa,Chopra,14,31,Other,No Formal Education,Self-Employed,Widowed,No,Yes,No,1,Fraud,11,Good,Completed Sentence,4.9,Yes,Moderate,Moderate,1,Middle,2,Yes,No,"H.No. 249, Zacharia Marg, Thrissur-986227"
307,Radha,Kulkarni,10,54,Other,Primary,Self-Employed,Single,No,Yes,Yes,0,Assault,10,Poor,Parole,2.98,Yes,Moderate,High,0,Low,0,Yes,Yes,"65/597, Banik Path, Eluru 148033"
308,Lakshit,Nadig,24,69,Other,Secondary,Self-Employed,Married,No,No,No,6,Drug Trafficking,16,Poor,Completed Sentence,6.08,Yes,Weak,Moderate,4,High,5,No,Yes,"38, Andra, Bokaro 231287"
309,Lila,Char,25,39,Female,Higher Secondary,Unemployed,Single,Yes,Yes,Yes,10,Murder,2,Average,Completed Sentence,3.71,No,Strong,Low,2,Middle,2,Yes,No,"62/38, Bath Marg, Orai-733683"
310,Hemang,Muni,15,39,Other,Higher Secondary,Employed,Single,No,No,Yes,3,Assault,15,Average,Escaped,2.71,No,Strong,Low,1,Middle,4,Yes,No,"86/967, Khurana Marg, Danapur-797551"
311,Gopal,Kakar,19,21,Other,Secondary,Self-Employed,Single,Yes,No,Yes,0,Cybercrime,17,Average,Parole,8.81,No,Moderate,Low,3,Low,1,No,No,"57/107, Kothari Road, Jammu 836892"
312,Eesha,Pradhan,23,41,Female,Postgraduate,Self-Employed,Divorced,Yes,No,No,3,Drug Trafficking,16,Poor,Escaped,8.73,Yes,Moderate,Low,5,High,4,No,No,"H.No. 27, Raju Zila, Shimoga 263634"
313,Naveen,Keer,27,70,Other,Graduate,Unemployed,Married,Yes,No,Yes,4,Assault,15,Good,Parole,8.82,No,Weak,Moderate,1,High,5,No,No,"37/921, Yogi Road, Guwahati-560094"
314,Pallavi,Pillay,29,57,Male,Postgraduate,Self-Employed,Divorced,No,No,No,2,Drug Trafficking,4,Good,Escaped,9.36,No,Weak,High,2,Middle,5,No,No,"90/21, Bajwa Marg, Tirupati-536469"
315,Yahvi,Bhat,14,20,Female,Higher Secondary,Self-Employed,Married,No,Yes,No,0,Theft,17,Average,Parole,6.94,Yes,Weak,Moderate,5,Middle,1,No,No,"H.No. 46, Mangat Zila, Avadi-870935"
316,Tara,Divan,29,50,Female,Graduate,Self-Employed,Divorced,Yes,No,No,9,Assault,8,Good,Parole,5.35,No,Weak,Low,5,Low,4,Yes,Yes,"H.No. 376, Dani Chowk, Kirari Suleman Nagar 046107"
317,Vinaya,Mahal,25,38,Other,Graduate,Self-Employed,Divorced,Yes,Yes,No,10,Theft,13,Good,Escaped,8.61,No,Weak,Low,5,High,5,No,No,"908, Dhar Road, Allahabad 758819"
318,Chatura,Chahal,19,47,Female,No Formal Education,Employed,Married,No,No,Yes,7,Fraud,19,Good,Parole,3.94,No,Strong,High,0,Middle,3,No,No,"H.No. 388, Chacko Chowk, Udupi-557547"
319,Anamika,Nazareth,19,58,Female,Secondary,Employed,Married,Yes,No,Yes,5,Murder,11,Average,Parole,5.72,No,Moderate,Low,0,Middle,5,Yes,No,"H.No. 10, Patla Nagar, Hyderabad 958859"
320,Luke,Chaudhry,20,53,Female,No Formal Education,Unemployed,Widowed,Yes,No,No,2,Theft,5,Good,Completed Sentence,1.04,No,Weak,High,5,Low,5,No,No,"H.No. 180, Soman Zila, Rajahmundry 083473"
321,Vamakshi,Nagar,21,64,Female,Primary,Unemployed,Married,No,No,No,3,Assault,12,Average,Completed Sentence,3.06,No,Moderate,Low,1,Low,0,Yes,No,"H.No. 63, Parmar Chowk, Raurkela Industrial Township 064085"
322,Radha,Kala,30,57,Male,Higher Secondary,Employed,Divorced,No,Yes,Yes,3,Cybercrime,4,Good,Parole,9.41,No,Strong,Low,1,High,3,Yes,No,"H.No. 92, Munshi Zila, Gurgaon 069828"
323,Robert,Bandi,20,60,Female,Secondary,Employed,Single,Yes,Yes,No,10,Fraud,17,Good,Escaped,3.27,No,Strong,Moderate,2,Middle,4,Yes,Yes,"32/50, Jhaveri Marg, Tiruchirappalli-766679"
324,Thomas,Patla,19,46,Female,Primary,Employed,Married,No,Yes,No,10,Theft,4,Good,Escaped,2.68,Yes,Moderate,High,3,High,1,Yes,Yes,"H.No. 565, Wable Path, Kolkata 389784"
325,Amrita,Batta,10,66,Other,Postgraduate,Unemployed,Married,No,Yes,No,7,Fraud,9,Good,Escaped,6.38,Yes,Weak,High,0,Low,0,Yes,Yes,"78/654, Balay Road, Phagwara-737865"
326,Jackson,Gour,15,27,Other,Secondary,Unemployed,Married,Yes,Yes,No,10,Cybercrime,7,Average,Completed Sentence,6.08,No,Moderate,High,5,Middle,3,Yes,No,"H.No. 816, Misra Circle, Siliguri-165723"
327,Mitali,Bawa,12,44,Female,Graduate,Self-Employed,Widowed,Yes,No,No,5,Murder,10,Average,Escaped,3.36,No,Strong,Low,1,Middle,2,No,No,"48, Brahmbhatt Street, Bharatpur-919614"
328,Upkaar,Chacko,16,47,Female,Secondary,Employed,Divorced,Yes,No,Yes,8,Assault,10,Average,Parole,8.45,Yes,Strong,Low,5,Low,3,No,Yes,"33/743, Mallick Nagar, Bellary-717083"
329,Lopa,Tank,24,63,Male,Graduate,Self-Employed,Married,No,No,No,9,Theft,15,Good,Completed Sentence,4.98,Yes,Moderate,High,1,Middle,1,Yes,Yes,"746, Sarraf Ganj, Raichur 137193"
330,Edhitha,Doshi,28,38,Other,Higher Secondary,Employed,Divorced,Yes,Yes,Yes,0,Theft,11,Good,Parole,8.41,Yes,Weak,High,1,Low,4,No,No,"H.No. 687, Thakkar Marg, Tumkur-224788"
331,Irya,Char,24,63,Other,No Formal Education,Employed,Divorced,No,Yes,No,7,Drug Trafficking,14,Good,Escaped,5.28,Yes,Strong,Low,1,Low,5,No,Yes,"06, Solanki Ganj, Silchar 801816"
332,Simon,Nath,15,19,Female,Secondary,Employed,Divorced,Yes,No,No,5,Murder,2,Good,Escaped,1.99,No,Strong,Moderate,1,High,0,No,No,"383, Som Chowk, Sagar 528382"
333,Frado,Samra,17,26,Other,Primary,Employed,Divorced,No,No,No,4,Drug Trafficking,19,Average,Escaped,6.18,No,Moderate,High,0,Low,3,No,No,"057, Chaudhuri Road, Muzaffarnagar 910680"
334,Dhruv,Narayanan,17,48,Male,No Formal Education,Employed,Married,No,No,No,1,Theft,10,Poor,Escaped,6.96,No,Moderate,Moderate,0,Low,0,No,No,"751, Sharma Zila, Sri Ganganagar 440731"
335,Chakradev,Dara,23,25,Male,Postgraduate,Self-Employed,Divorced,No,No,Yes,7,Cybercrime,7,Average,Completed Sentence,6.1,Yes,Moderate,Low,2,High,3,No,Yes,"040, Bansal, Davanagere-765065"
336,Wahab,Ganesh,10,36,Other,No Formal Education,Self-Employed,Widowed,No,Yes,Yes,6,Cybercrime,17,Average,Escaped,3.32,No,Weak,Moderate,4,Low,0,No,No,"H.No. 686, Mistry Nagar, Bhiwandi-877964"
337,Aishani,Setty,27,70,Other,Higher Secondary,Employed,Married,Yes,Yes,No,2,Cybercrime,10,Average,Completed Sentence,7.96,Yes,Moderate,High,0,High,4,Yes,Yes,"400, Salvi Path, Bally 742699"
338,Gaurang,Munshi,16,44,Female,Postgraduate,Unemployed,Divorced,No,Yes,No,10,Drug Trafficking,16,Average,Escaped,9.35,No,Strong,Low,1,Middle,5,Yes,No,"H.No. 74, Kothari Circle, Kakinada 548324"
339,Pratyush,Mander,25,56,Female,Secondary,Unemployed,Married,Yes,No,No,8,Murder,1,Average,Parole,6.67,No,Weak,Low,4,Middle,5,Yes,No,"31/290, Kumar Street, Giridih 900804"
340,Wyatt,Butala,20,25,Other,Graduate,Employed,Widowed,No,No,Yes,8,Assault,13,Poor,Parole,4.25,Yes,Strong,High,4,High,2,No,No,"H.No. 591, Garg Circle, Asansol-190000"
341,Rohan,Dave,28,28,Male,No Formal Education,Unemployed,Married,Yes,No,No,1,Assault,8,Average,Parole,6.42,Yes,Strong,High,3,High,2,Yes,No,"10/28, Bose Chowk, Anantapuram-733315"
342,Omkaar,Loke,24,42,Female,Primary,Unemployed,Widowed,No,No,No,3,Murder,15,Good,Completed Sentence,3.33,No,Moderate,Low,4,Middle,0,Yes,Yes,"H.No. 134, Choudhury Marg, Imphal-752696"
343,Tamanna,Kothari,29,68,Male,Primary,Employed,Single,Yes,No,No,2,Assault,14,Poor,Escaped,7.81,Yes,Moderate,Moderate,1,High,0,No,No,"53, Chopra Path, Amaravati-659437"
344,Vedhika,Sathe,26,50,Other,No Formal Education,Unemployed,Widowed,No,Yes,No,4,Cybercrime,1,Average,Completed Sentence,9.55,Yes,Strong,Low,4,High,1,No,Yes,"91, Mistry Ganj, Erode 898090"
345,Ekaja,Dash,30,65,Male,Higher Secondary,Unemployed,Married,No,No,No,4,Assault,11,Good,Completed Sentence,4.34,Yes,Weak,High,4,Low,4,No,No,"11, Kar Road, Ahmedabad-459353"
346,Turvi,Nagar,21,65,Other,No Formal Education,Unemployed,Married,Yes,Yes,Yes,9,Assault,9,Poor,Escaped,7.03,No,Strong,Low,0,High,3,No,No,"57, Mahal Circle, Dhanbad-285693"
347,Nisha,Walia,15,22,Female,Postgraduate,Unemployed,Married,Yes,No,No,8,Fraud,16,Poor,Parole,9.14,No,Weak,Low,0,Low,4,No,No,"644, Walla Nagar, Mumbai-538030"
348,Anita,Dasgupta,25,54,Other,Postgraduate,Unemployed,Married,No,No,Yes,8,Fraud,3,Poor,Parole,6.87,No,Weak,Moderate,3,High,0,No,Yes,"H.No. 90, Acharya, Pune 348757"
349,Gagan,Majumdar,22,32,Female,Primary,Self-Employed,Divorced,Yes,No,No,4,Cybercrime,10,Good,Parole,8.18,Yes,Strong,High,1,Middle,4,Yes,No,"H.No. 68, Dua Path, Navi Mumbai-757016"
350,David,Mandal,20,55,Other,Higher Secondary,Unemployed,Single,Yes,No,Yes,1,Theft,2,Average,Completed Sentence,3.31,Yes,Strong,Low,0,Middle,4,No,No,"348, Mody Marg, Deoghar-014593"
351,David,Konda,22,51,Other,Graduate,Self-Employed,Married,No,Yes,No,2,Theft,17,Good,Completed Sentence,8.36,Yes,Weak,Moderate,3,Low,5,No,No,"48/77, Tank Circle, South Dumdum 253375"
352,Mekhala,Dube,18,68,Male,Higher Secondary,Self-Employed,Married,Yes,Yes,Yes,1,Theft,9,Average,Completed Sentence,4.54,No,Strong,Moderate,3,Low,1,Yes,Yes,"59/00, Sundaram Circle, Anantapuram 347186"
353,Hredhaan,Pillay,13,56,Male,Postgraduate,Unemployed,Married,No,No,No,9,Murder,13,Poor,Parole,5.52,No,Moderate,Low,4,Low,0,No,No,"H.No. 26, Chacko Marg, Unnao 495269"
354,Nikita,Singhal,12,58,Other,Graduate,Self-Employed,Widowed,Yes,Yes,No,6,Assault,6,Average,Completed Sentence,6.27,No,Weak,Moderate,4,High,2,No,No,"23/11, Brahmbhatt, Bangalore 567964"
355,Triveni,Bora,19,48,Female,Primary,Unemployed,Widowed,Yes,No,Yes,7,Fraud,7,Average,Escaped,7.74,No,Weak,Low,0,Low,4,No,Yes,"73/17, Sen Chowk, Phagwara 871122"
356,Nitara,Hayer,10,63,Male,Higher Secondary,Self-Employed,Widowed,Yes,Yes,Yes,6,Theft,16,Poor,Escaped,6.92,No,Strong,Low,0,Middle,4,No,No,"64/251, Gera, Loni 794423"
357,Raghav,Swaminathan,24,34,Female,Graduate,Unemployed,Married,No,Yes,Yes,8,Murder,10,Average,Escaped,2.85,No,Moderate,High,0,High,3,No,Yes,"34/87, Prabhakar Marg, Ranchi-480980"
358,Elijah,Borra,30,56,Other,Secondary,Employed,Married,Yes,Yes,Yes,5,Assault,3,Good,Completed Sentence,1.36,No,Weak,Low,5,Middle,1,No,No,"H.No. 52, Master Street, Arrah 448438"
359,Wazir,Edwin,27,63,Female,Secondary,Unemployed,Married,Yes,Yes,No,3,Cybercrime,12,Average,Completed Sentence,4.03,Yes,Weak,Low,5,Middle,0,Yes,No,"58/56, Chaudhry Path, Gorakhpur 623912"
360,Januja,Chandra,14,56,Male,Secondary,Employed,Single,Yes,No,No,3,Cybercrime,16,Good,Completed Sentence,3.58,No,Moderate,Moderate,1,Middle,4,Yes,Yes,"H.No. 194, Chaudhry, Pondicherry 086540"
361,Wazir,Konda,28,38,Female,Higher Secondary,Self-Employed,Married,No,Yes,No,9,Cybercrime,3,Poor,Parole,5.81,Yes,Moderate,Low,4,Middle,3,No,Yes,"95/14, Murthy Circle, Nagercoil 362813"
362,Warda,Chauhan,16,32,Female,Primary,Employed,Divorced,Yes,No,No,8,Theft,3,Good,Completed Sentence,2.87,No,Weak,High,2,Low,2,No,No,"92/839, Saran Nagar, Ramagundam 954849"
363,Alexander,Bhatti,17,60,Female,Postgraduate,Self-Employed,Widowed,Yes,Yes,No,5,Murder,8,Poor,Parole,8.56,Yes,Strong,Moderate,4,Middle,5,No,No,"H.No. 76, Sani Ganj, Mehsana-174199"
364,Arya,Sha,18,62,Other,Higher Secondary,Unemployed,Widowed,Yes,No,No,10,Murder,20,Good,Escaped,7.75,No,Weak,Moderate,1,Low,0,No,Yes,"H.No. 24, Sethi Zila, Mehsana 802135"
365,Kamala,Bobal,24,37,Other,Higher Secondary,Employed,Single,Yes,No,No,8,Drug Trafficking,9,Good,Completed Sentence,6.09,Yes,Moderate,Low,4,Middle,1,Yes,Yes,"64/217, Kar Road, Gudivada-870801"
366,Panini,Ravi,25,32,Male,Primary,Employed,Single,No,Yes,Yes,0,Murder,14,Good,Escaped,4.19,No,Weak,Low,4,High,3,No,Yes,"499, Varughese Path, Jehanabad 861639"
367,Laban,Hegde,22,44,Female,No Formal Education,Employed,Single,Yes,Yes,Yes,1,Cybercrime,10,Average,Completed Sentence,8.26,Yes,Weak,High,5,High,5,No,No,"59/850, Pillai Path, Dibrugarh-630056"
368,Jalsa,De,11,24,Male,No Formal Education,Employed,Married,No,No,No,2,Murder,12,Poor,Parole,8.52,No,Strong,Moderate,2,High,3,Yes,No,"93/44, Prabhakar Ganj, Jehanabad-843986"
369,Balendra,Badal,23,35,Male,Secondary,Employed,Single,No,No,No,6,Assault,18,Average,Completed Sentence,1.8,Yes,Moderate,Moderate,1,Low,1,Yes,No,"17/472, Amble Circle, New Delhi 011653"
370,Nimrat,Bhardwaj,10,65,Male,No Formal Education,Unemployed,Divorced,No,No,Yes,5,Murder,13,Good,Completed Sentence,5.81,Yes,Strong,Moderate,4,Low,5,No,Yes,"671, Uppal Road, Loni-360417"
371,Zayan,Loyal,19,46,Male,No Formal Education,Employed,Single,Yes,No,No,4,Drug Trafficking,20,Good,Escaped,9.22,No,Weak,Moderate,2,Low,5,No,Yes,"32/44, Gopal Path, Mango-797247"
